127.0.0.1 - - [20/Jun/2022:10:16:49 +0900] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [20/Jun/2022:10:16:51 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [20/Jun/2022:10:16:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [20/Jun/2022:10:17:18 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [20/Jun/2022:10:17:43 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [20/Jun/2022:10:17:45 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [20/Jun/2022:10:17:48 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [20/Jun/2022:10:17:50 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [20/Jun/2022:10:17:59 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [20/Jun/2022:10:18:18 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [20/Jun/2022:10:18:18 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [20/Jun/2022:10:18:19 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [20/Jun/2022:10:18:23 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [20/Jun/2022:10:23:09 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [20/Jun/2022:10:23:14 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [20/Jun/2022:11:02:14 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [20/Jun/2022:11:02:27 +0900] "POST /mw_0620/qna/write_ok.jsp HTTP/1.1" 500 4863
0:0:0:0:0:0:0:1 - - [20/Jun/2022:11:02:47 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [20/Jun/2022:11:02:57 +0900] "POST /mw_0620/qna/write_ok.jsp HTTP/1.1" 500 4866
0:0:0:0:0:0:0:1 - - [20/Jun/2022:11:03:47 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [20/Jun/2022:11:03:55 +0900] "POST /mw_0620/qna/write_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2022:11:03:55 +0900] "GET /mw_0620/qna/list.jsp HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [20/Jun/2022:11:21:08 +0900] "GET /mw_0620/qna/list.jsp HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [20/Jun/2022:11:21:21 +0900] "GET /mw_0620/qna/list.jsp HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [20/Jun/2022:11:24:24 +0900] "GET /mw_0620/qna/list.jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [20/Jun/2022:11:25:33 +0900] "GET /mw_0620/qna/list.jsp HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [20/Jun/2022:11:25:34 +0900] "GET /mw_0620/qna/wirte.jsp HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [20/Jun/2022:11:25:41 +0900] "GET /mw_0620/qna/list.jsp HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [20/Jun/2022:11:25:41 +0900] "GET /mw_0620/qna/write.jsp HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [20/Jun/2022:11:26:17 +0900] "GET /mw_0620/qna/list.jsp HTTP/1.1" 200 633
