127.0.0.1 - - [10/Jun/2022:09:54:54 +0900] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:54:56 +0900] "GET /mw_0610/board1/write.jsp HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:54:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:58:04 +0900] "GET /mw_0610/board1/write.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:58:21 +0900] "GET /mw_0610/board1/write.jsp HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:58:22 +0900] "POST /mw_0610/board1/write_ok.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:58:24 +0900] "POST /mw_0610/board1/write_ok.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:19:05 +0900] "GET /mw_0610/board1/write.jsp HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:19:18 +0900] "POST /mw_0610/board1/write_ok.jsp HTTP/1.1" 500 4079
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:19:57 +0900] "GET /mw_0610/board1/write.jsp HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:20:08 +0900] "POST /mw_0610/board1/write_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:20:09 +0900] "GET /mw_0610/board1/list.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:29:00 +0900] "GET /mw_0610/board1/list.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:30:18 +0900] "GET /mw_0610/board1/list.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:31:16 +0900] "GET /mw_0610/board1/list.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:33:10 +0900] "GET /mw_0610/board1/list.jsp HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:40:32 +0900] "GET /mw_0610/board1/list.jsp HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:40:37 +0900] "GET /mw_0610/board1/list.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [10/Jun/2022:10:40:38 +0900] "GET /mw_0610/board1/write.jsp HTTP/1.1" 200 798
